word,won,word_length,attempts_used,total_guesses
uses,1,4,0,3
wide,1,4,5,9
knife,0,5,6,8
yeah,0,4,6,8
committees,1,10,0,7
arrows,1,6,3,8
dansk,1,5,4,9
ecb,0,3,6,8
order,1,5,1,5
deliveries,1,10,0,7
commenter,1,9,1,8
discount,1,8,2,10
thinks,1,6,4,10
line,1,4,2,6
private,1,7,0,7
hot,1,3,5,8
wind,0,4,6,9
ripe,0,4,6,8
dreams,1,6,2,8
show,1,4,3,7
beath,0,5,6,10
improvement,1,11,0,9
compounded,1,10,1,9
warez,1,5,4,9
symbols,1,7,4,10
auctions,1,8,1,9
version,1,7,0,7
err,1,3,3,5
bytes,1,5,4,9
chinese,1,7,1,7
completion,1,10,0,9
sons,1,4,2,5
directed,1,8,0,6
chapters,1,8,0,8
style,1,5,4,9
bikes,0,5,6,9
collectables,1,12,1,9
bin,0,3,6,8
border,1,6,3,8
thumbnails,1,10,1,11
mortgages,1,9,1,9
looks,1,5,2,6
chinese,1,7,1,7
characterized,1,13,0,9
drama,1,5,1,5
heh,0,3,6,7
edta,1,4,4,8
problems,1,8,0,8
linux,1,5,5,10
philosophical,1,13,0,8
giant,0,5,6,9
creative,1,8,0,7
photographs,1,11,3,11
mythos,1,6,5,11
months,1,6,2,8
farnesyltransferase,1,19,0,9
italy,1,5,3,8
named,1,5,3,8
beim,0,4,6,7
month,1,5,3,8
gas,1,3,1,4
hamburger,1,9,2,10
includes,1,8,0,8
parents,1,7,0,7
door,1,4,3,6
ice,1,3,2,5
alex,1,4,5,9
coordinating,1,12,0,9
bin,0,3,6,8
handle,1,6,3,9
draize,0,6,6,10
colonialism,1,11,1,9
comes,1,5,3,8
config,1,6,3,9
old,1,3,2,5
cost,1,4,2,6
suzanne,1,7,0,6
california,1,10,1,9
slowest,1,7,1,7
idea,1,4,4,8
salem,1,5,2,7
answers,1,7,0,6
illustrate,1,10,0,8
bless,1,5,3,7
businesses,1,10,0,6
won,1,3,5,8
cruises,1,7,3,9
hannstar,1,8,3,9
center,1,6,1,6
fetal,1,5,3,8
candy,1,5,5,10
weekly,1,6,0,5
non,1,3,2,4
listening,1,9,1,8
maintaining,1,11,0,6
changes,1,7,1,8
solar,1,5,1,6
homes,1,5,2,7
trading,1,7,2,9
chunky,0,6,6,7
dicke,1,5,3,8
arkansas,1,8,2,7
dynamic,1,7,1,8
trademark,1,9,0,7
poster,1,6,2,8
fermentation,1,12,1,10
emma,1,4,0,3
hope,0,4,6,8
equipment,1,9,0,8
turbo,1,5,3,8
bumble,1,6,3,8
woodland,1,8,3,9
computing,1,9,1,10
alec,0,4,6,9
dlctionary,1,10,2,12
hormone,1,7,2,8
oed,0,3,6,8
fletcher,1,8,0,7
attachments,1,11,1,9
fix,0,3,6,7
earth,1,5,1,6
minister,1,8,0,7
employees,1,9,0,7
houseshare,1,10,3,10
ideas,1,5,0,5
improve,1,7,2,9
inn,1,3,3,5
visor,1,5,4,9
pto,0,3,6,7
featured,1,8,1,8
men,1,3,5,8
percent,1,7,0,6
century,1,7,0,7
metal,1,5,0,5
lucas,1,5,2,7
spotting,1,8,2,9
polaris,1,7,2,9
represented,1,11,1,8
expert,1,6,1,6
increased,1,9,0,8
div,0,3,6,7
policeman,1,9,1,10
noun,1,4,5,8
select,1,6,0,5
esu,0,3,6,8
water,1,5,3,8
character,1,9,1,7
incorporate,1,11,0,9
fri,1,3,3,6
fruit,1,5,3,8
pocket,1,6,4,10
complications,1,13,0,10
degree,1,6,0,4
monetary,1,8,0,8
doing,1,5,4,9
costs,1,5,2,6
tricky,1,6,4,10
compliance,1,10,0,9
cumshot,1,7,3,10
seven,1,5,2,6
capable,1,7,0,6
muscle,1,6,5,11
focused,1,7,1,8
shaw,0,4,6,8
body,0,4,6,7
emails,1,6,3,9
show,1,4,3,7
slideshow,1,9,1,9
central,1,7,0,7
routines,1,8,0,8
imports,1,7,2,9
wlemb,0,5,6,8
letter,1,6,0,4
specs,1,5,0,4
resolvent,1,9,3,11
performance,1,11,1,10
object,1,6,2,8
partners,1,8,0,7
resid,1,5,3,8
syntax,1,6,4,10
edward,1,6,2,7
members,1,7,1,6
dealer,1,6,0,5
academic,1,8,2,8
fair,1,4,3,7
timed,1,5,5,10
literature,1,10,0,7
reserveamerica,1,14,0,8
closed,1,6,1,7
uppers,1,6,4,9
sap,0,3,6,8
behavior,1,8,0,8
passage,1,7,1,6
cuyamaca,1,8,3,8
alternate,1,9,1,7
teen,1,4,2,5
area,1,4,3,6
phantom,1,7,2,9
moderating,1,10,1,11
stories,1,7,0,6
hendrix,1,7,1,8
adult,1,5,2,7
stop,1,4,2,6
genetically,1,11,0,9
niagara,1,7,1,6
nervous,1,7,0,7
expression,1,10,0,8
recent,1,6,0,5
making,1,6,3,9
domain,1,6,1,7
tue,1,3,2,5
well,1,4,4,7
film,1,4,4,8
ladies,1,6,2,8
geeks,1,5,2,6
kiosk,1,5,3,7
changes,1,7,1,8
favorite,1,8,0,8
unknown,1,7,3,8
curriculums,1,11,3,10
hole,1,4,5,9
corner,1,6,2,7
population,1,10,1,9
duisburg,1,8,4,11
manual,1,6,2,7
germany,1,7,0,7
sellers,1,7,0,4
natural,1,7,3,9
bay,1,3,2,5
keeping,1,7,1,7
front,1,5,3,8
journal,1,7,2,9
optimal,1,7,2,9
junior,1,6,2,8
lut,0,3,6,7
hands,1,5,2,7
portland,1,8,2,10
graph,0,5,6,8
spring,1,6,3,9
options,1,7,2,8
visitors,1,8,2,8
consideration,1,13,1,11
monday,1,6,2,8
process,1,7,0,6
across,1,6,2,7
political,1,9,1,8
within,1,6,3,8
pdas,1,4,4,8
homepage,1,8,0,7
standards,1,9,2,8
run,0,3,6,8
cover,1,5,2,7
decorative,1,10,0,9
handful,1,7,4,11
collectible,1,11,0,7
central,1,7,0,7
which,1,5,5,9
illustrated,1,11,0,9
respectful,1,10,1,10
protocol,1,8,3,9
applied,1,7,2,8
minutes,1,7,2,9
insight,1,7,1,7
shortcut,1,8,3,10
router,1,6,0,5
society,1,7,0,7
compare,1,7,0,7
bringing,1,8,1,6
erosion,1,7,0,6
many,0,4,6,8
chain,1,5,4,9
experiences,1,11,1,9
pokemon,1,7,3,9
defensive,1,9,1,8
eur,1,3,3,6
south,1,5,3,8
license,1,7,0,6
strategies,1,10,0,7
alerts,1,6,0,6
opportunity,1,11,0,8
circle,1,6,2,7
mpegs,1,5,4,9
complemented,1,12,1,10
shower,1,6,3,9
elderly,1,7,1,6
examine,1,7,1,7
upto,1,4,4,8
queen,1,5,3,7
always,1,6,1,6
maccast,0,7,6,9
cleaning,1,8,0,7
wing,0,4,6,8
rebounding,1,10,0,9
precisely,1,9,1,9
bucket,1,6,5,11
confidential,1,12,0,10
pdas,1,4,4,8
gruner,1,6,4,9
embeth,1,6,1,6
descarga,1,8,2,9
law,0,3,6,7
singapore,1,9,0,9
drive,1,5,3,8
brief,1,5,2,7
george,1,6,0,4
curves,1,6,4,10
listings,1,8,1,7
appearing,1,9,1,8
resultados,1,10,2,11
produced,1,8,1,8
programming,1,11,0,8
voip,0,4,6,7
wal,0,3,6,7
prices,1,6,0,6
topped,0,6,6,8
sexy,1,4,3,7
nicely,1,6,4,10
bill,1,4,4,7
switzerland,1,11,0,11
police,1,6,1,7
milk,1,4,5,9
founded,1,7,2,8
song,1,4,3,7
searches,1,8,0,6
roxy,0,4,6,8
favourite,1,9,0,9
north,1,5,3,8
equalization,1,12,0,10
soviet,1,6,3,9
play,1,4,1,5
rules,1,5,3,8
foundation,1,10,1,9
job,1,3,5,8
wichita,1,7,3,9
point,1,5,5,10
studies,1,7,1,7
director,1,8,0,7
pentium,1,7,1,8
environment,1,11,0,8
child,1,5,4,9
gun,0,3,6,8
fuck,0,4,6,7
practices,1,9,0,8
motherboard,1,11,1,10
know,1,4,5,9
records,1,7,1,7
indicators,1,10,1,10
malaysia,1,8,1,7
charge,1,6,2,8
licence,1,7,2,7
limit,1,5,4,8
cameras,1,7,0,6
relationship,1,12,0,11
carb,0,4,6,8
pupil,1,5,5,9
question,1,8,0,8
commerce,1,8,1,6
region,1,6,1,7
tom,1,3,4,7
year,1,4,2,6
patches,1,7,3,10
transport,1,9,2,9
wine,1,4,3,7
own,1,3,4,7
interoperability,1,16,0,11
started,1,7,0,6
includes,1,8,0,8
nda,0,3,6,8
dolly,0,5,6,7
silver,1,6,1,7
danish,1,6,1,7
john,0,4,6,8
dicks,0,5,6,8
days,1,4,2,6
dish,1,4,5,9
postcards,1,9,2,10
abec,0,4,6,7
ucu,0,3,6,7
director,1,8,0,7
hire,0,4,6,8
clermont,1,8,2,10
december,1,8,0,6
ship,1,4,3,7
econ,1,4,2,6
barrington,1,10,2,10
pochi,0,5,6,7
souls,1,5,3,7
sent,1,4,0,4
protecting,1,10,0,9
phone,1,5,3,8
community,1,9,1,9
