word,won,word_length,attempts_used,total_guesses
baby,0,4,6,7
true,1,4,4,8
basename,1,8,0,6
stairs,1,6,3,8
view,1,4,4,8
estate,1,6,2,6
valid,1,5,3,8
initial,1,7,1,6
entrepreneurs,1,13,1,8
mir,0,3,6,8
newark,1,6,2,8
monica,1,6,1,7
columbia,1,8,1,9
normal,1,6,2,8
log,1,3,4,7
quantum,1,7,3,9
wood,1,4,5,8
attached,1,8,2,8
appropriation,1,13,0,7
mode,1,4,4,8
submitted,1,9,0,8
paypal,1,6,2,6
player,1,6,0,6
hawaii,1,6,1,5
skills,1,6,3,7
reviews,1,7,0,6
forums,1,6,4,10
swot,1,4,4,8
aug,1,3,2,5
forced,1,6,1,7
lil,0,3,6,7
global,1,6,1,6
photography,1,11,2,10
escape,1,6,2,7
well,1,4,4,7
orgy,1,4,4,8
hospital,1,8,1,9
identified,1,10,0,6
deferred,1,8,0,4
favour,1,6,4,10
inter,1,5,4,9
organization,1,12,0,8
hardcover,1,9,1,9
cared,1,5,3,8
another,1,7,0,7
shogun,1,6,5,11
son,1,3,3,6
objectives,1,10,0,9
mucho,0,5,6,8
processing,1,10,0,9
whitney,1,7,4,11
nondiscrimination,1,17,0,10
lauren,1,6,1,7
commitment,1,10,0,7
metalworking,1,12,0,12
constant,1,8,2,8
them,1,4,2,6
moving,1,6,2,8
girl,1,4,4,8
going,1,5,4,8
half,1,4,4,8
streets,1,7,0,4
looks,1,5,2,6
goose,1,5,3,7
admissions,1,10,1,8
assistant,1,9,1,6
six,0,3,6,7
six,0,3,6,7
foreign,1,7,1,8
leaves,1,6,1,6
armani,1,6,3,8
calories,1,8,0,8
slide,1,5,4,9
module,1,6,2,8
arm,1,3,1,4
keep,1,4,2,5
scripts,1,7,3,9
sports,1,6,2,7
copyrights,1,10,1,11
david,1,5,3,7
poor,1,4,4,7
district,1,8,1,7
utc,0,3,6,7
visu,0,4,6,8
special,1,7,0,7
unlimited,1,9,0,8
suck,1,4,5,9
curling,1,7,4,11
reuters,1,7,1,6
commission,1,10,1,7
tilt,0,4,6,8
bank,1,4,4,8
papers,1,6,1,6
vision,1,6,2,7
corporation,1,11,0,8
utrecht,1,7,2,8
sand,1,4,2,6
responsible,1,11,0,9
brewer,1,6,3,7
esta,1,4,3,7
candles,1,7,3,10
bangs,0,5,6,10
reproduced,1,10,1,8
dealing,1,7,0,7
ceo,0,3,6,7
danish,1,6,1,7
band,1,4,5,9
della,1,5,0,4
super,1,5,0,5
blocks,1,6,3,9
code,1,4,5,9
democracy,1,9,1,9
testing,1,7,1,7
dev,1,3,3,6
portfolio,1,9,2,9
understand,1,10,0,8
none,1,4,2,5
depicting,1,9,0,8
lost,1,4,3,7
beverly,1,7,0,6
scandinavian,1,12,0,7
power,1,5,2,7
harbridge,1,9,1,9
bridge,1,6,1,7
finish,1,6,3,8
thus,0,4,6,7
removal,1,7,1,8
telephony,1,9,1,9
canadian,1,8,1,6
referee,1,7,0,3
carey,1,5,2,7
debate,1,6,4,9
carlisle,1,8,0,7
madonna,1,7,3,8
lem,0,3,6,7
alliance,1,8,0,6
cotton,1,6,2,6
visiting,1,8,1,7
neighborhoods,1,13,0,10
user,1,4,0,4
evils,1,5,3,8
parametric,1,10,1,9
night,0,5,6,10
winner,1,6,3,8
decide,1,6,3,7
matter,1,6,0,5
sincerely,1,9,0,8
baseline,1,8,0,7
theatrical,1,10,0,8
mug,0,3,6,7
contains,1,8,1,8
thank,1,5,4,9
ultimate,1,8,1,8
meini,1,5,5,9
forestry,1,8,0,7
triphasic,1,9,2,10
tire,0,4,6,8
roundtable,1,10,1,11
rome,0,4,6,9
figures,1,7,0,7
proposal,1,8,2,8
radio,1,5,2,7
modern,1,6,1,7
stored,1,6,1,7
sight,1,5,3,8
looked,1,6,2,7
agree,1,5,1,5
through,1,7,2,8
docbooksgml,1,11,2,11
source,1,6,2,8
organisational,1,14,1,10
slow,1,4,5,9
whitman,1,7,1,8
arvada,1,6,2,6
messages,1,8,1,6
total,1,5,3,7
treatment,1,9,0,6
kanye,1,5,4,9
his,0,3,6,7
full,1,4,5,8
robert,1,6,1,6
finishing,1,9,1,7
changes,1,7,1,8
press,1,5,0,4
fuck,0,4,6,7
playing,1,7,3,10
input,1,5,3,8
music,1,5,3,8
hover,0,5,6,10
respond,1,7,1,8
biodiversity,1,12,0,10
wet,0,3,6,8
delivery,1,8,0,7
interval,1,8,0,8
webringalan,1,11,1,10
photograph,1,10,2,9
receptacles,1,11,1,9
nothing,1,7,1,7
