word,won,word_length,attempts_used,total_guesses
saa,1,3,3,5
robbie,1,6,4,9
indiana,1,7,4,8
pedagogical,1,11,4,13
poured,1,6,4,10
wind,0,4,6,7
operations,1,10,4,13
august,1,6,4,9
how,0,3,6,6
arm,1,3,5,8
runners,1,7,4,9
duration,1,8,4,12
forward,1,7,4,10
same,0,4,6,9
students,1,8,4,10
tagged,0,6,6,8
keeping,0,7,6,8
serve,1,5,4,8
often,1,5,4,9
serious,1,7,4,10
stowell,1,7,4,10
candles,1,7,4,11
substances,1,10,4,12
psychological,1,13,4,14
started,1,7,4,10
tested,1,6,4,8
feet,0,4,6,8
vaughan,0,7,6,7
libboost,1,8,4,10
frank,0,5,6,8
begun,1,5,5,10
periodically,1,12,4,14
yours,0,5,6,9
speed,1,5,4,8
seymore,1,7,4,10
spa,1,3,4,7
kinds,0,5,6,8
seattle,1,7,4,9
sin,0,3,6,8
look,1,4,4,7
furrows,1,7,5,11
behind,1,6,4,10
leadership,1,10,4,13
interactive,1,11,4,12
ferenc,0,6,6,8
dues,1,4,4,8
holiday,1,7,4,11
sal,0,3,6,8
deviant,1,7,4,11
about,0,5,6,7
australian,1,10,4,12
corrections,1,11,2,10
tusks,0,5,6,7
arbogast,1,8,4,11
hammer,1,6,4,9
bronze,1,6,4,10
extension,1,9,4,11
limit,1,5,5,9
entered,1,7,4,9
strength,1,8,4,11
introduces,1,10,3,13
enhance,1,7,4,9
critical,1,8,4,10
informative,1,11,4,14
references,1,10,4,10
incl,0,4,6,8
port,1,4,4,8
useful,1,6,4,9
weights,1,7,4,11
author,1,6,4,10
afterward,1,9,4,11
applications,1,12,4,13
reader,1,6,4,8
server,1,6,4,8
interpretive,1,12,4,11
waste,1,5,4,9
drac,0,4,6,9
method,1,6,5,11
prisoners,1,9,4,11
taxable,0,7,6,9
members,1,7,4,9
sessions,1,8,2,7
campfire,1,8,4,12
firmware,1,8,4,11
principles,1,10,4,12
follows,1,7,5,10
void,0,4,6,7
biopsychosocial,1,15,4,14
cookbook,1,8,5,9
truth,0,5,6,7
months,1,6,4,10
today,0,5,6,7
downloading,1,11,4,12
wales,0,5,6,9
elsevier,1,8,4,10
had,0,3,6,7
gain,0,4,6,8
senegal,1,7,4,10
church,1,6,4,8
tribe,0,5,6,9
television,1,10,4,12
interesting,1,11,4,11
borrow,1,6,4,8
letters,1,7,5,10
response,1,8,4,10
crab,0,4,6,8
vertices,1,8,4,11
increase,1,8,3,10
europe,1,6,4,9
warning,1,7,4,10
masters,1,7,4,10
hardware,1,8,4,10
sec,0,3,6,8
regular,1,7,4,10
portfolio,1,9,4,11
physically,1,10,4,12
put,0,3,6,6
classifieds,1,11,4,12
daughters,1,9,4,13
vellum,0,6,6,8
monkhouse,1,9,5,13
number,1,6,4,10
flashing,1,8,4,12
queen,1,5,4,8
committee,1,9,4,10
feel,1,4,4,7
untitled,1,8,4,11
mon,0,3,6,6
definition,1,10,4,11
minister,1,8,4,11
applications,1,12,4,13
scheider,1,8,4,11
dex,0,3,6,7
sprint,1,6,4,10
demonstration,1,13,2,12
step,1,4,4,8
green,1,5,4,8
interval,1,8,4,12
gas,1,3,4,7
sabotage,1,8,4,11
san,1,3,5,8
sets,1,4,4,7
fiber,1,5,4,9
breast,1,6,4,10
tips,1,4,5,9
today,0,5,6,7
bugatti,1,7,4,10
bears,1,5,5,10
chicago,1,7,4,10
voyeur,1,6,4,10
vacation,1,8,4,11
result,1,6,4,10
ministries,1,10,4,11
fish,1,4,5,9
dab,0,3,6,8
gview,0,5,6,8
hotel,1,5,5,10
shin,0,4,6,9
actually,1,8,4,10
evaluation,1,10,4,13
janet,1,5,4,9
election,1,8,3,10
fit,0,3,6,7
couple,0,6,6,7
wondered,1,8,4,10
freezing,1,8,5,12
lead,0,4,6,8
critic,1,6,4,8
compacts,1,8,4,11
constructed,1,11,4,13
arizona,1,7,4,10
creek,1,5,5,9
expansion,1,9,4,12
root,1,4,5,8
assumptions,1,11,4,13
british,1,7,4,10
charge,1,6,4,10
mirror,1,6,4,8
months,1,6,4,10
general,1,7,4,10
soon,0,4,6,6
agency,1,6,4,10
boy,0,3,6,6
hampton,1,7,5,12
extensible,1,10,4,12
ready,1,5,4,9
such,0,4,6,6
collectibl,1,10,4,11
rule,1,4,4,8
occur,1,5,4,8
journals,1,8,4,12
river,1,5,4,8
brief,1,5,5,10
hainault,1,8,4,11
industrial,1,10,4,13
operates,1,8,4,11
premier,1,7,4,9
somehow,1,7,4,10
laughs,0,6,6,8
chobe,0,5,6,7
usr,1,3,4,7
feature,1,7,4,10
golf,1,4,4,8
afb,0,3,6,7
foot,0,4,6,7
jordan,1,6,4,10
daily,1,5,4,9
gwot,0,4,6,7
queue,1,5,5,8
philanthropic,1,13,4,14
aylesworth,1,10,4,14
report,1,6,5,10
benefits,1,8,4,11
alert,1,5,4,9
vehicle,1,7,4,10
prepare,1,7,4,8
friendly,1,8,4,12
henderson,1,9,4,11
neither,1,7,4,10
lately,1,6,5,10
huge,0,4,6,7
employment,1,10,4,12
