Letter,Occurrences,Word_Occurrences,Frequency
a,227927,173719,9.153279389328919
b,55191,51338,2.2164054402350417
c,105207,91557,4.224988986443587
d,84511,75907,3.39386204561801
e,261655,187226,10.50775607372035
f,36767,33131,1.4765193386806141
g,64837,58916,2.6037774189364096
h,68622,63300,2.7557785530214893
i,193013,153569,7.7511743442968255
j,10051,9845,0.40363630084257224
k,40539,37884,1.627998408104371
l,134429,110932,5.398510027456585
m,82360,74745,3.3074804235791713
n,167589,137521,6.730176502030229
o,169751,134147,6.816999871090188
p,68853,61248,2.765055240464991
q,5694,5620,0.2286643216592982
r,177184,149133,7.115500380906409
s,171441,137874,6.884868277062125
t,155401,126972,6.240720802630243
u,78166,72057,3.13905433207248
v,29786,28887,1.1961706155503786
w,34484,29779,1.3848367523883454
x,12303,11720,0.494073963711687
y,40210,38594,1.6147861562908994
z,14142,13148,0.5679260338787838
